Date,Open,High,Low,Close,Adj Close,Volume
2022-02-14,115.558998,115.723999,115.019997,115.584000,115.584000,0
2022-02-15,115.542000,115.869003,115.255997,115.536003,115.536003,0
2022-02-16,115.639999,115.774002,115.390999,115.635002,115.635002,0
2022-02-17,115.393997,115.528000,114.861000,115.387001,115.387001,0
2022-02-18,114.856003,115.264000,114.787003,114.865997,114.865997,0
2022-02-21,114.956001,115.106003,114.799004,114.960999,114.960999,0
2022-02-22,114.583000,115.232002,114.526001,114.609001,114.609001,0
2022-02-23,115.101997,115.184998,114.967003,115.096001,115.096001,0
2022-02-24,114.916000,115.625999,114.414001,114.898003,114.898003,0
2022-02-25,115.546997,115.630997,115.152000,115.570999,115.570999,0
2022-02-28,115.587997,115.647003,115.093002,115.584999,115.584999,0
2022-03-01,115.082001,115.264999,114.719002,115.078003,115.078003,0
2022-03-02,114.815002,115.680000,114.794998,114.833000,114.833000,0
2022-03-03,115.497002,115.800003,115.495003,115.518997,115.518997,0
2022-03-04,115.480003,115.532997,114.651001,115.473999,115.473999,0
2022-03-07,114.936996,115.471001,114.842003,114.949997,114.949997,0
2022-03-08,115.369003,115.776001,115.332001,115.373001,115.373001,0
2022-03-09,115.741997,115.941002,115.579002,115.722000,115.722000,0
2022-03-10,115.911003,116.190002,115.820000,115.908997,115.908997,0
2022-03-11,116.158997,117.164001,116.150002,116.179001,116.179001,0
2022-03-14,117.503998,118.058998,117.467003,117.528999,117.528999,0
2022-03-15,118.218002,118.433998,117.745003,118.218002,118.218002,0
2022-03-16,118.311996,118.500999,118.171997,118.292000,118.292000,0
2022-03-17,118.890999,118.998001,118.421997,118.870003,118.870003,0
2022-03-18,118.485001,119.389000,118.485001,118.486000,118.486000,0
2022-03-21,119.261002,119.292999,119.099998,119.263000,119.263000,0
2022-03-22,119.594002,120.975998,119.594002,119.594002,119.594002,0
2022-03-23,121.264999,121.299004,120.627998,121.339996,121.339996,0
2022-03-24,121.138000,122.102997,120.980003,121.126999,121.126999,0
2022-03-25,122.349998,122.349998,121.217003,122.346001,122.346001,0
2022-03-28,122.269997,125.055000,122.158997,122.269997,122.269997,0
2022-03-29,123.660004,124.209000,122.057999,123.660004,123.660004,0
2022-03-30,123.125000,123.023003,121.316002,123.125000,123.125000,0
2022-03-31,122.021004,122.416000,121.291000,122.021004,122.021004,0
2022-04-01,121.755997,122.997002,121.742996,121.755997,121.755997,0
2022-04-04,122.610001,122.928001,122.288002,122.610001,122.610001,0
2022-04-05,122.808998,123.499001,122.419998,122.808998,122.808998,0
2022-04-06,123.655998,124.043999,123.587997,123.655998,123.655998,0
2022-04-07,123.723000,123.995003,123.508003,123.723000,123.723000,0
2022-04-08,124.096001,124.650002,123.682999,124.096001,124.096001,0
2022-04-11,124.385002,125.761002,124.302002,124.385002,124.385002,0
2022-04-12,125.472000,125.742996,124.873001,125.472000,125.472000,0
2022-04-13,125.416000,126.296997,125.371002,125.416000,125.416000,0
2022-04-14,125.376999,125.987999,125.130997,125.376999,125.376999,0
2022-04-15,126.179001,126.670998,126.069000,126.179001,126.179001,0
2022-04-18,126.617996,126.790001,126.263000,126.617996,126.617996,0
2022-04-19,127.098000,128.860992,127.039001,127.098000,127.098000,0
2022-04-20,129.332993,129.373993,127.511002,129.332993,129.332993,0
2022-04-21,128.013000,128.695999,127.827003,128.013000,128.013000,0
2022-04-22,128.408005,129.059006,127.806999,128.408005,128.408005,0
2022-04-25,128.604996,128.822006,127.525002,128.604996,128.604996,0
2022-04-26,127.744003,128.188004,127.043999,127.744003,127.744003,0
2022-04-27,127.265999,128.578003,127.259003,127.265999,127.265999,0
2022-04-28,128.393997,131.220993,128.367996,128.393997,128.393997,0
2022-04-29,130.811005,130.809998,129.460007,130.811005,130.811005,0
2022-05-02,130.011002,130.470993,129.615997,130.011002,130.011002,0
2022-05-03,130.112000,130.279999,129.718994,130.112000,130.112000,0
2022-05-04,130.115997,130.197998,129.802994,130.115997,130.115997,0
2022-05-05,129.223007,130.432007,128.774994,129.223007,129.223007,0
2022-05-06,130.330002,130.804993,130.220993,130.330002,130.330002,0
2022-05-09,130.748993,131.324997,130.149994,130.748993,130.748993,0
2022-05-10,130.376999,130.528000,129.815002,130.376999,130.376999,0
2022-05-11,130.350998,130.783005,129.612000,130.350998,130.350998,0
2022-05-12,129.835007,129.897995,127.584999,129.835007,129.835007,0
2022-05-13,128.587997,129.436996,128.365997,128.587997,128.587997,0
2022-05-16,129.432007,129.604004,128.705994,129.432007,129.432007,0
2022-05-17,128.923004,129.750000,128.839996,128.923004,128.923004,0
2022-05-18,129.453995,129.432999,128.119995,129.453995,129.453995,0
2022-05-19,127.914001,128.938004,127.028999,127.914001,127.914001,0
2022-05-20,127.832001,128.283997,127.537003,127.832001,127.832001,0
2022-05-23,127.903000,127.932999,127.167000,127.903000,127.903000,0
2022-05-24,127.846001,128.050003,126.391998,127.846001,127.846001,0
2022-05-25,126.768997,127.415001,126.675003,126.768997,126.768997,0
2022-05-26,127.152000,127.559998,126.569000,127.152000,127.152000,0
2022-05-27,127.044998,127.210999,126.677002,127.044998,127.044998,0
2022-05-30,127.285004,127.806000,126.870003,127.285004,127.285004,0
2022-05-31,127.783997,128.878006,127.653000,127.783997,127.783997,0
2022-06-01,128.735992,130.115997,128.800003,128.735992,128.735992,0
2022-06-02,130.121994,130.181000,129.526993,130.121994,130.121994,0
2022-06-03,129.917999,130.970993,129.695007,129.917999,129.917999,0
